++++!!!

Parti Pair No - 1
Time	Distance
3.203735	6.213173
5.208301	6.213173
7.196301	6.213173
9.200895	6.213173
11.20566	6.213173
13.19348	6.213173
15.19822	6.213173
17.20269	6.213173
19.20713	6.213173
21.19527	6.213173
23.19976	6.213173
25.20427	6.213173
27.20883	6.213173
29.197	6.213173
31.2014	6.213173
33.20609	6.213173
35.19397	6.213173
37.19854	6.213173
39.20312	6.213173
41.20767	6.213173
43.19608	6.213173
45.20023	6.213173
47.2048	6.213173
49.20937	6.213173
51.19737	6.213173
53.20206	6.213173
55.2065	6.213173
57.1945	6.213173
59.19911	6.213173
61.20364	6.213173
63.2082	6.213173
65.19624	6.213173
67.20077	6.213173
69.20534	6.213173
71.19337	6.213173
73.1979	6.213173
75.20247	6.213173
77.20734	6.213173
79.19521	6.213173
81.19978	6.213173
83.20425	6.213173
85.20889	6.213173
87.19673	6.213173
89.20148	6.213173
91.20587	6.213173
93.19403	6.213173
95.19843	6.213173
97.203	6.213173
99.20757	6.213173
101.1956	6.213173
103.2001	6.213173
105.2047	6.213173
107.2095	6.213173
109.1973	6.213173
111.2018	6.213173
113.2064	6.213173
115.1945	6.213173
117.199	6.213173
119.2039	6.213173
121.2084	6.213173
123.1962	6.213173
125.2007	6.213173
127.2052	6.213173
129.1932	6.213173
131.198	6.213173
133.2024	6.213173
135.207	6.213173
137.1951	6.213173
139.1996	6.213173
141.2041	6.213173
143.2086	6.213173
145.1966	6.213173
147.2012	6.213173
149.2058	6.213173
151.1938	6.213173
153.1984	6.213173
155.2029	6.213173
157.2075	6.213173
159.1955	6.213173
161.2	6.213173
163.2046	6.213173
165.2093	6.213173
167.1973	6.213173
169.2017	6.213173
171.2063	6.213173
173.1943	6.213173
175.1989	6.213173
177.2034	6.213173
179.208	6.213173
181.196	6.213173
183.2007	6.213173
185.2053	6.213173
187.1932	6.213173
189.1979	6.213173
191.2024	6.213173
193.2068	6.213173
195.1949	6.213173
197.1994	6.213173
199.204	6.213173
201.2087	6.213173
203.1965	6.213173
205.2011	6.213173
207.2058	6.213173
209.1937	6.213173
211.1983	6.213173
213.203	6.213173
215.2074	6.213173
217.1954	6.213173
219.1999	6.213173
221.2045	6.213173
223.2091	6.213173
225.1972	6.213173
227.2016	6.213173
229.2063	6.213173
231.1942	6.213173
233.1989	6.213173
235.2033	6.213173
237.2079	6.213173
239.1959	6.213173
241.2006	6.213173
243.205	6.213173
245.1932	6.213173
247.1976	6.213173
249.2022	6.213173
251.2067	6.213173
253.1949	6.213173
255.1993	6.213173
257.204	6.213173
259.2086	6.213173
261.1968	6.213173
263.201	6.213173
265.2056	6.213173
267.1936	6.213173
269.1983	6.213173
271.2028	6.213173
273.2073	6.213173
275.1953	6.213173
277.2	6.213173
